comment_id;comment
43;Спасибо большое сотрудникам Сбербанка. Вопрос решили без лишних переводов.
44;Думал операция займёт много времени, но прошла мгновенно Такой скорости я не ожидал...
45;Заблокировали покупку в интернет-магазине как будто без причины.
46;Устал от ваших сообщений. Хотелось бы самому настроить частоту.
47;Хорошая программа, пользоваться комфортно...
48;Заблокировали перевод по номеру телефона в конце рабочего дня.
49;Заблокировали оплату коммуналки в конце рабочего дня.
50;скорость радует, но алгоритм проверки хотелось бы понятнее. тогда пользоваться станет намного приятнее.
51;В целом сервис хороший, но бывают странные остановки операций. Остальное меня устраивает.
52;Заблокировали автоплатёж хотя сумма была небольшой.
53;Заблокировали оплату мобильной связи в самый неподходящий момент.
54;В целом сервис хороший, но бывают странные остановки операций. Тогда пользоваться станет намного приятнее.
55;Слишком много уведомлений. Иногда кажется, что их больше, чем пользы.
56;Заблокировали платёж за интернет в конце рабочего дня.
57;Устал от ваших сообщений. Иногда кажется, что их больше, чем пользы.
58;Заблокировали платёж за интернет как будто без причины...
59;Для меня было неожиданно быстро Операция завершилась с первого раза.
60;Приятно удивлён, операции проходят без задержек.
61;Проверка срабатывает там, где это не нужно. Приходится ждать и повторять попытку.
62;Очень быстро обработали платёж Операция завершилась с первого раза.
63;Проверка занимает лишнее время. Из-за этого теряется время.
64;Процесс подтверждения всегда своевременный и прозрачный. Баланс между удобством и безопасностью хороший.
65;Пользоваться в целом удобно, но подтверждение на мелких суммах лишнее. Тогда пользоваться станет намного приятнее.
66;Спасибо сотрудникам за помощь. Редко встречаю такой сервис.
67;В сервисе всё прозрачно так что впечатление положительное...
68;Хорошая программа, лишних действий нет.
69;Заблокировали перевод на карту в самый неподходящий момент.
70;Все этапы проверки видны и не вызывают вопросов. Так и должно работать.
71;Скорость радует, но иногда блокировки вообще нелогичные. Пока это главный минус.
72;Заблокировали снятие наличных в самый неподходящий момент.
73;Заблокировали перевод по номеру телефона даже без предупреждения.
74;Процесс понятный, для меня это большой плюс.
75;Уведомления приходят даже когда не нужно. Из-за этого хочется отключить пуши совсем.
76;Алгоритм подтверждения выглядит странно. Такой сценарий только раздражает.
77;Уведомления приходят даже когда не нужно. Часть из них для меня бесполезна.
78;Устал от ваших сообщений. Иногда кажется, что их больше, чем пользы.
79;Все хорошо работает, поддержка отвечает быстро.
80;Никаких проблем не заметил, всё прозрачно.
81;Слишком много уведомлений. Хотелось бы самому настроить частоту.
82;Заблокировали перевод в другой банк как будто без причины.
83;После обращения проблему закрыли в тот же день. Редко встречаю такой сервис.
84;Поддержка сработала оперативно. Объяснили спокойно и понятно.
85;обычный сервис, если ничего не менять.
86;Заблокировали платёж по ЪР на ровном месте.
87;Помогли быстро решить вопрос. Редко встречаю такой сервис.
88;Пушей стало слишком много. Из-за этого хочется отключить пуши совсем.
89;Очень понравилось, операции проходят без задержек.
90;Заблокировали оплату Мегафон по лицевому счету хотя раньше всё проходило.
91;Все прошло буквально за секунды Даже не успел начать переживать.
92;Все прошло буквально за секунды Даже не успел начать переживать.
93;Заблокировали перевод на карту хотя сумма была небольшой.
94;Процесс подтверждения всегда своевременный и прозрачный. Чувствую себя спокойнее.
95;В целом сервис хороший, но подтверждение на мелких суммах лишнее. Из-за этого впечатление смешанное.
96;Заблокировали снятие наличных когда спешил.
97;Приятно удивлён, для меня это большой плюс.
98;Слишком долгое подтверждение операции. Такой сценарий только раздражает.
99;Сообщения приходят слишком часто. Часть из них для меня бесполезна...
100;Слишком много уведомлений. Особенно вечером это утомляет.
101;Заблокировали снятие наличных и никто не пояснил почему.
102;Сотрудники всё вежливо объяснили. Редко встречаю такой сервис.
103;проверка занимает лишнее время. иногда после этого вообще отменяю платёж.
104;Проверка срабатывает там, где это не нужно. Иногда после этого вообще отменяю платёж.
105;Заблокировали оплату коммуналки при обычной сумме.
106;Заблокировали оплату подписки хотя операция стандартная.
107;Подтверждение операций устроено логично. Так и должно работать.
108;Скорость радует, но в редкие моменты всё зависает. Если это поправить, будет отлично.
109;обычный сервис, пока претензий нет.
110;Устал от ваших сообщений. Из-за этого хочется отключить пуши совсем.
111;Проверка понятная и быстрая. Чувствую себя спокойнее.
112;Заблокировали автоплатёж в самый неподходящий момент.
113;Все хорошо работает, поддержка отвечает быстро.
114;Очень удобно, для меня это большой плюс.
115;Алгоритм подтверждения выглядит странно. Иногда после этого вообще отменяю платёж.
116;Подтверждение операций устроено логично. Никакого дискомфорта не вызывает.
117;Процесс понятный, поддержка отвечает быстро.
118;После обращения проблему закрыли в тот же день. Вопрос решили без лишних переводов.
119;Заблокировали снятие наличных и никто не пояснил почему.
120;Алгоритм подтверждения выглядит странно. Хотелось бы меньше лишних шагов.
121;Работает стабильно, всё с первого раза.
122;Алгоритм подтверждения выглядит странно. Приходится ждать и повторять попытку.
123;Очень удобно, операции проходят без задержек.
124;Сервис порадовал, пользоваться комфортно.
125;Алгоритм подтверждения выглядит странно. Иногда после этого вообще отменяю платёж.
126;Пользоваться в целом удобно, но уведомлений многовато. Тогда пользоваться станет намного приятнее.
127;Проверка срабатывает там, где это не нужно. Хотелось бы меньше лишних шагов.
128;Очень понравилось, подтверждение приходит вовремя.
129;Подтверждение иногда зависает. Приходится ждать и повторять попытку.
130;Работает стабильно, операции проходят без задержек.
131;Процесс подтверждения всегда своевременный и прозрачный. Так и должно работать.
132;заблокировали перевод в другой банк как будто без причины.
133;Проверка занимает лишнее время. Приходится ждать и повторять попытку.
134;Заблокировали операцию оплаты в конце рабочего дня.
135;Идея отличная, но бывают странные остановки операций. Тогда пользоваться станет намного приятнее.
136;Слишком много уведомлений. Особенно вечером это утомляет.
137;Пользоваться в целом удобно, но подтверждение на мелких суммах лишнее. Из-за этого впечатление смешанное.
138;Очень быстро обработали платёж Даже не успел начать переживать.
139;В целом сервис хороший, но иногда блокировки вообще нелогичные. Если это поправить, будет отлично...
140;Все прошло отлично, операции проходят без задержек.
141;Проверка понятная и быстрая. Баланс между удобством и безопасностью хороший.
142;Заблокировали перевод на карту хотя раньше все проходило.
143;Все этапы проверки видны и не вызывают вопросов. Так и должно работать.
144;Для меня было неожиданно быстро Операция завершилась с первого раза.
145;Нравится, что безопасность не мешает пользоваться сервисом. Никакого дискомфорта не вызывает.
146;Заблокировали перевод по номеру телефона при обычной сумме.
147;Заблокировали оплату Мегафон по лицевому счету и никто не пояснил почему.
148;Постоянные сообщения мешают. Особенно вечером это утомляет.
149;Чувствуется забота о клиенте. Редко встречаю такой сервис.
150;он мне не мешает, пока претензий нет.
151;Заблокировали покупку в интернет-магазине когда спешил.
152;Поддержка нормальная, но иногда блокировки вообще нелогичные. Пока это главный минус.
153;Заблокировали оплату подписки когда спешил.
154;Работает стабильно, операции проходят без задержек.
155;Нравится, что безопасность не мешает пользоваться сервисом. Чувствую себя спокойнее.
156;Идея отличная, но бывают странные остановки операций. Пока это главный минус.
157;он мне не мешает, если ничего не менять.
158;Заблокировали оплату коммуналки и никто не пояснил почему...
159;Не ожидал, что всё будет так быстро Все прошло без проблем...
160;Заблокировали перевод в другой банк в конце рабочего дня.
161;заблокировали автоплатёж когда спешил.
162;Помогли быстро решить вопрос. Объяснили спокойно и понятно.
163;Заблокировали оплату Мегафон по лицевому счету хотя сумма была небольшой.
164;Алгоритм подтверждения выглядит странно. Такой сценарий только раздражает.
165;Сервис порадовал, операции проходят без задержек.
166;подтверждение пришло почти сразу операция завершилась с первого раза.
167;в целом нормально, пока претензий нет.
168;С мелкими суммами проверяет строжне, чем с крупными. Приходится ждать и повторять попытку.
169;нормально, пока претензий нет.
170;Заблокировали автоплатёж в конце рабочего дня.
171;Идея отличная, но алгоритм проверки хотелось бы понятнее. Из-за этого впечатление смешанное.
172;неплохо
173;Очень удобно, всё быстро и понятно.
174;Заблокировали перевод на карту когда спешил.
175;Заблокировали автоплатёж как будто без причины.
176;Работает стабильно, всё с первого раза.
177;Заблокировали перевод по номеру телефона в конце рабочего дня.
178;Устал от ваших сообщений. Из-за этого хочется отключить пуши совсем.
179;В целом сервис хороший, но алгоритм проверки хотелось бы понятнее. Пока это главный минус.
180;Сообщения приходят слишком часто. Иногда кажется, что их больше, чем пользы.
181;Заблокировали оплату мобильной связи и никто не пояснил почему...
182;Пушей стало слишком много. Иногда кажется, что их больше, чем пользы.
183;проверка понятная и быстрая. чувствую себя спокойнее...
184;Чувствуется забота о клиенте. Вопрос решили без лишних переводов.
185;он мне не мешает, пока претензий нет.
186;Поддержка нормальная, но бывают странные остановки операций. Если это поправить, будет отлично.
187;Пользоваться в целом удобно, но бывают странные остановки операций. Тогда пользоваться станет намного приятнее.
188;Проверка срабатывает там, где это не нужно. Такой сценарий только раздражает.
189;Очень удобно, операции проходят без задержек.
190;с мелкими суммами проверяет строжне, чем с крупными. хотелось бы меньше лишних шагов.
191;Хорошая программа, лишних действий нет.
192;Проверка занимает лишнее время. Из-за этого теряется время.
193;Уведомления приходят даже когда не нужно. Иногда кажется, что их больше, чем пользы.
194;работает как работает, пока претензий нет.
195;Все прошло отлично, операции проходят без задержек.
196;заблокировали пополнение карты как будто без причины.
197;кошмар
198;он мне не мешает, пока претензий нет.
199;Заблокировали перевод на карту при обычной сумме.
200;Лишние уведомления только раздражают. Особенно вечером это утомляет...
201;Заблокировали перевод между своими счетами без объяснения причины.
202;отлично
203;Помогли быстро решить вопрос. Вопрос решили без лишних переводов.
204;Процесс понятный, поддержка отвечает быстро.
205;думал операция займёт много времени, но прошла мгновенно такой скорости я не ожидал.
206;Для меня было неожиданно быстро Все прошло без проблем.
207;Заблокировали оплату мобильной связи хотя сумма была небольшой.
208;Проверка занимает лишнее время. Хотелось бы меньше лишних шагов.
209;нормально, если ничего не менять.
210;нравится, что безопасность не мешает пользоваться сервисом. никакого дискомфорта не вызывает.
211;Сервис порадовал, подтверждение приходит вовремя.
212;Для меня было неожиданно быстро Все прошло без проблем.
213;Сотрудники всё вежливо объяснили. Осталось хорошее впечатление.
214;Уведомления приходят даже когда не нужно. Из-за этого хочется отключить пуши совсем.
215;Заблокировали перевод в другой банк на ровном месте.
216;С мелкими суммами проверяет строжне, чем с крупными. Хотелось бы меньше лишних шагов.
217;Идея отличная, но бывают странные остановки операций. Из-за этого впечатление смешанное.
218;Все хорошо работает, для меня это большой плюс.
219;Очень быстро обработали платёж Даже не успел начать переживать.
220;пока без особых эмоций
221;Спасибо большое сотрудникам Сбербанка. Объяснили спокойно и понятно...
222;Очень понравилось, лишних действий нет.
223;Устал от ваших сообщений. Из-за этого хочется отключить пуши совсем.
224;Подтверждение операций устроено логично. Баланс между удобством и безопасностью хороший.
225;Заблокировали платёж за интернет как будто без причины.
226;Нравится, что безопасность не мешает пользоваться сервисом. Никакого дискомфорта не вызывает.
227;Для меня было неожиданно быстро Такой скорости я не ожидал.
228;Программа удобная, но алгоритм проверки хотелось бы понятнее. Если это поправить, будет отлично.
229;Проверка понятная и быстрая. Никакого дискомфорта не вызывает.
230;Скорость приятно удивила Такой скорости я не ожидал.
231;Подтверждение пришло почти сразу Все прошло без проблем.
232;он мне не мешает, если ничего не менять...
233;лишние уведомления только раздражают. из-за этого хочется отключить пуши совсем.
234;Скорость приятно удивила Все прошло без проблем.
235;Проверка понятная и быстрая. Чувствую себя спокойнее.
236;Слишком много уведомлений. Хотелось бы самому настроить частоту.
237;ок
238;Помогли быстро решить вопрос. Объяснили спокойно и понятно.
239;Очень быстро обработали платёж Все прошло без проблем.
240;идея отличная, но иногда блокировки вообще нелогичные. если это поправить, будет отлично.
241;Сработало быстрее, чем обычно Операция завершилась с первого раза.
242;Хорошая программа, лишних действий нет.
243;Постоянно просит лишнее подтверждение. Иногда после этого вообще отменяю платёж...
244;Уведомления приходят даже когда не нужно. Иногда кажется, что их больше, чем пользы.
245;Сотрудники всё вежливо объяснили. Осталось хорошее впечатление.
246;Поддержка сработала оперативно. Объяснили спокойно и понятно.
247;Код приходит с задержкой. Приходится ждать и повторять попытку...
248;После обращения проблему закрыли в тот же день. Осталось хорошее впечатление.
249;Все прошло отлично, поддержка отвечает быстро.
250;Заблокировали перевод между своими счетами хотя сумма была небольшой.
251;Нравится, что безопасность не мешает пользоваться сервисом. Чувствую себя спокойнее.
252;Программа удобная, но подтверждение на мелких суммах лишнее. Из-за этого впечатление смешанное.
253;В сервисе всё прозрачно и это раздражает.
254;отлично
255;Не ожидал, что всё будет так быстро Операция завершилась с первого раза.
256;Скорость радует, но иногда блокировки вообще нелогичные. Пока это главный минус.
257;После обращения проблему закрыли в тот же день. Объяснили спокойно и понятно.
258;в целом нормально, если ничего не менять.
259;пока без особых эмоций
260;Заблокировали покупку в интернет-магазине хотя операция стандартная.
261;пользуюсь без восторга, но и без проблем, пока претензий нет.
262;Подтверждение операций устроено логично. Баланс между удобством и безопасностью хороший.
263;Заблокировали платёж по ЪР когда спешил.
264;Пушей стало слишком много. Иногда кажется, что их больше, чем пользы.
265;Заблокировали оплату мобильной связи хотя сумма была небольшой.
266;нормально.
267;Подтверждение операций устроено логично. Никакого дискомфорта не вызывает.
268;Думал операция займёт много времени, но прошла мгновенно Операция завершилась с первого раза.
269;С мелкими суммами проверяет строжне, чем с крупными. Приходится ждать и повторять попытку.
270;Чувствуется забота о клиенте. Редко встречаю такой сервис.
271;обычный сервис
272;Алгоритм подтверждения выглядит странно. Такой сценарий только раздражает.
273;В сервисе всё прозрачно и это раздражает.
274;Заблокировали оплату коммуналки хотя сумма была небольшой.
275;Заблокировали платёж за интернет на ровном месте.
276;Процесс понятный, подтверждение приходит вовремя.
277;Чувствуется забота о клиенте. Вопрос решили без лишних переводов.
278;Заблокировали пополнение карты без объяснения причины.
279;Подтверждение иногда зависает. Иногда после этого вообще отменяю платёж.
280;заблокировали автоплатёж хотя операция стандартная.
281;Заблокировали покупку в интернет-магазине в конце рабочего дня.
282;Чувствуется забота о клиенте. Вопрос решили без лишних переводов.
283;Все прошло буквально за секунды Все прошло без проблем.
284;Пушей стало слишком много. Из-за этого хочется отключить пуши совсем.
285;помогли быстро решить вопрос. редко встречаю такой сервис.
286;Уведомления приходят даже когда не нужно. Часть из них для меня бесполезна.
287;Сработало быстрее, чем обычно Даже не успел начать переживать.
288;в целом сервис хороший, но бывают странные остановки операций. пока это главный минус.
289;Все хорошо работает, поддержка отвечает быстро.
290;Сервис порадовал, интерфейс удобный.
291;Все прошло отлично, подтверждение приходит вовремя.
292;Не ожидал, что всё будет так быстро Даже не успел начать переживать.
293;Сотрудники всё вежливо объяснили. Объяснили спокойно и понятно.
294;Спасибо сотрудникам за помощь. Вопрос решили без лишних переводов.
295;Постоянно просит лишнее подтверждение. Хотелось бы меньше лишних шагов.
296;очень понравилось, поддержка отвечает быстро.
297;слишком много уведомлений. хотелось бы самому настроить частоту.
298;Подтверждение пришло почти сразу Операция завершилась с первого раза.
299;Поддержка сработала оперативно. Объяснили спокойно и понятно.
300;алгоритм подтверждения выглядит странно. иногда после этого вообще отменяю платёж.
301;Проверка срабатывает там, где это не нужно. Приходится ждать и повторять попытку...
302;Постоянно просит лишнее подтверждение. Из-за этого теряется время.
303;Заблокировали операцию оплаты хотя сумма была небольшой.
304;Заблокировали оплату мобильной связи и никто не пояснил почему.
305;Чувствуется забота о клиенте. Вопрос решили без лишних переводов.
306;Поддержка сработала оперативно. Осталось хорошее впечатление.
307;заблокировали перевод между своими счетами когда спешил.
308;Поддержка сработала оперативно. Осталось хорошее впечатление.
309;Скорость приятно удивила Все прошло без проблем.
310;пока без особых эмоций.
311;Постоянно просит лишнее подтверждение. Иногда после этого вообще отменяю платёж.
312;Спасибо сотрудникам за помощь. Объяснили спокойно и понятно.
313;Заблокировали операцию оплаты в самый неподходящий момент.
314;заблокировали перевод на карту в конце рабочего дня.
315;Проверка срабатывает там, где это не нужно. Иногда после этого вообще отменяю платёж.
316;Очень быстро обработали платёж Такой скорости я не ожидал.
317;Заблокировали платёж за интернет при обычной сумме.
318;Заблокировали перевод между своими счетами в самый неподходящий момент.
319;Заблокировали оплату подписки без объяснения причины.
320;Подтверждение операций устроено логично. Баланс между удобством и безопасностью хороший.
321;Сообщения приходят слишком часто. Особенно вечером это утомляет.
322;так себе
323;В целом сервис хороший, но иногда блокировки вообще нелогичные. Пока это главный минус...
324;С мелкими суммами проверяет строжне, чем с крупными. Хотелось бы меньше лишних шагов.
325;он мне не мешает, если ничего не менять.
326;Спасибо большое сотрудникам Сбербанка. Осталось хорошее впечатление.
327;так себе
328;Подтверждение операций устроено логично. Так и должно работать.
329;Подтверждение пришло почти сразу Такой скорости я не ожидал.
330;Лишние уведомления только раздражают. Часть из них для меня бесполезна.
331;После обращения проблему закрыли в тот же день. Вопрос решили без лишних переводов.
332;Подтверждение пришло почти сразу Такой скорости я не ожидал.
333;Скорость радует, но в редкие моменты всё зависает. Из-за этого впечатление смешанное.
334;Проверка срабатывает там, где это не нужно. Иногда после этого вообще отменяю платёж.
335;Проверка понятная и быстрая. Так и должно работать.
336;Спасибо сотрудникам за помощь. Редко встречаю такой сервис.
337;Поддержка нормальная, но иногда блокировки вообще нелогичные. Пока это главный минус.
338;С мелкими суммами проверяет строжне, чем с крупными. Приходится ждать и повторять попытку.
339;Сотрудники всё вежливо объяснили. Осталось хорошее впечатление...
340;Очень понравилось, интерфейс удобный.
341;Все прошло отлично, лишних действий нет...
342;обычный сервис, пока претензий нет.
343;Скорость приятно удивила Операция завершилась с первого раза.
344;Заблокировали платёж по ЪР как будто без причины.
345;Подтверждение пришло почти сразу Такой скорости я не ожидал.
346;Проверка понятная и быстрая. Никакого дискомфорта не вызывает.
347;Нравится, что безопасность не мешает пользоваться сервисом. Так и должно работать.
348;Поддержка нормальная, но алгоритм проверки хотелось бы понятнее. Из-за этого впечатление смешанное.
349;Лишние уведомления только раздражают. Из-за этого хочется отключить пуши совсем.
350;Процесс понятный, лишних действий нет.
351;Заблокировали пополнение карты хотя сумма была небольшой.
352;Постоянно просит лишнее подтверждение. Из-за этого теряется время.
353;Процесс понятный, всё быстро и понятно.
354;Заблокировали платёж за интернет хотя операция стандартная.
355;Приятно удивлён, интерфейс удобный.
356;Сервис порадовал, операции проходят без задержек.
357;Все прошло отлично, подтверждение приходит вовремя.
358;постоянно просит лишнее подтверждение. из-за этого теряется время.
359;Заблокировали пополнение карты как будто без причины.
360;Заблокировали оплату мобильной связи без объяснения причины.
361;Подтверждение операций устроено логично. Чувствую себя спокойнее.
362;Пользоваться в целом удобно, но подтверждение на мелких суммах лишнее. Если это поправить, будет отлично.
363;Проверка занимает лишнее время. Из-за этого теряется время.
364;Процесс понятный, всё прозрачно...
365;Спасибо сотрудникам за помощь. Вопрос решили без лишних переводов.
366;Думал операция займёт много времени, но прошла мгновенно Операция завершилась с первого раза.
367;Хорошая программа, поддержка отвечает быстро.
368;Проверка понятная и быстрая. Так и должно работать.
369;Поддержка нормальная, но алгоритм проверки хотелось бы понятнее. Если это поправить, будет отлично.
370;Подтверждение пришло почти сразу Операция завершилась с первого раза.
371;Помогли быстро решить вопрос. Объяснили спокойно и понятно.
372;Процесс подтверждения всегда своевременный и прозрачный. Баланс между удобством и безопасностью хороший.
373;Сообщения приходят слишком часто. Особенно вечером это утомляет.
374;Сотрудники всё вежливо объяснили. Вопрос решили без лишних переводов.
375;Заблокировали покупку в интернет-магазине хотя сумма была небольшой.
376;Заблокировали платёж по ЪР в самый неподходящий момент.
377;Заблокировали покупку в интернет-магазине хотя раньше всё проходило.
378;Постоянно просит лишнее подтверйдение. Из-за этого теряется время...
379;Сотрудники всё вежливо объяснили. Объяснили спокойно и понятно.
380;Заблокировали перевод между своими счетами и никто не пояснил почему.
381;Идея отличная, но в редкие моменты всё зависает. Из-за этого впечатление смешанное.
382;Алгоритм подтверждения выглядит странно. Хотелось бы меньше лишних шагов.
383;Идея отличная, но подтверждение на мелких суммах лишнее. Тогда пользоваться станет намного приятнее.
384;Приятно удивлён, лишних действий нет.
385;Пользоваться в целом удобно, но подтверждение на мелких суммах лишнее. Остальное меня устраивает.
386;в целом нормально, пока претензий нет.
387;Процесс понятный, лишних действий нет.
388;Заблокировали операцию оплаты как будто без причины.
389;Думал операция займёт много времени, но прошла мгновенно Все прошло без проблем.
390;Идея отличная, но бывают странные остановки операций. Если это поправить, будет отлично.
391;Приятно удивлён, всё быстро и понятно.
392;Помогли быстро решить вопрос. Осталось хорошее впечатление.
393;Думал операция займёт много времени, но прошла мгновенно Даже не успел начать переживать.
394;Уведомления приходят даже когда не нужно. Хотелось бы самому настроить частоту.
395;Сотрудники всё вежливо объяснили. Вопрос решили без лишних переводов.
396;Программа удобная, но иногда блокировки вообще нелогичные. Из-за этого впечатление смешанное.
397;Постоянно просит лишнее подтверждение. Из-за этого теряется время.
398;Проверка срабатывает там, где это не нужно. Такой сценарий только раздражает.
399;так себе
400;Программа удобная, но алгоритм проверки хотелось бы понятнее. Пока это главный минус.
401;Постоянно просит лишнее подтверждение. Хотелось бы меньше лишних шагов.
402;Пушей стало слишком много. Особенно вечером это утомляет.
403;ничего особенного, но пользоваться можно, если ничего не менять.
404;Подтверждение иногда зависает. Приходится ждать и повторять попытку.
405;Скорость приятно удивила Операция завершилась с первого раза.
406;После обращения проблему закрыли в тот же день. Объяснили спокойно и понятно.
407;Подтверждение иногда зависает. Приходится ждать и повторять попытку.
408;нормально
409;Все прошло буквально за секунды Даже не успел начать переживать.
410;Очень быстро обработали платёж Даже не успел начать переживать...
411;Заблокировали платёж за интернет как будто без причины.
412;В целом сервис хороший, но алгоритм проверки хотелось бы понятнее. Пока это главный минус.
413;Для меня было неожиданно быстро Операция завершилась с первого раза.
414;Заблокировали пополнение карты хотя раньше всё проходило.
415;Уведомления приходят даже когда не нужно. Хотелось бы самому настроить частоту...
416;Все хорошо работает, операции проходят без задержек.
417;Слишком много уведомлений. Особенно вечером это утомляет.
418;Поддержка нормальная, но алгоритм проверки хотелось бы понятнее. Тогда пользоваться станет намного приятнее.
419;Идея отличная, но алгоритм проверки хотелось бы понятнее. Остальное меня устраивает.
420;Заблокировали перевод по номеру телефона в конце рабочего дня.
421;Для меня было неожиданно быстро Все прошло без проблем.
422;Проверка занимает лишнее время. Из-за этого теряется время.
423;Спасибо большое сотрудникам Сбербанка. Осталось хорошее впечатление.
424;Сервис порадовал, лишних действий нет.
425;Постоянные сообщения мешают. Иногда кажется, что их больше, чем пользы.
426;Пользоваться в целом удобно, но иногда блокировки вообще нелогичные. Тогда пользоваться станет намного приятнее.
427;Проверка понятная и быстрая. Чувствую себя спокойнее.
428;Заблокировали перевод по номеру телефона хотя раньше всё проходило.
429;Заблокировали пополнение карты хотя сумма была небольшой.
430;Спасибо большое сотрудникам Сбербанка. Вопрос решили без лишних переводов.
431;Все прошло отлично, интерфейс удобный.
432;Лишние уведомления только раздражают. Особенно вечером это утомляет.
433;Процесс понятный, поддержка отвечает быстро.
434;Код приходит с задержкой. Такой сценарий только раздражает.
435;Чувствуется забота о клиенте. Осталось хорошее впечатление.
436;норм
437;пользуюсь без восторга, но и без проблем, если ничего не менять.
438;Устал от ваших сообщений. Особенно вечером это утомляет.
439;Все хорошо работает, все с первого раза.
440;ничего особенного, но пользоваться можно, пока претензий нет.
441;Заблокировали снятие наличных хотя раньше всё проходило.
442;Пушей стало слишком много. Особенно вечером это утомляет.
443;Очень быстро обработали платёж Все прошло без проблем.
444;Нравится, что безопасность не мешает пользоваться сервисом. Баланс между удобством и безопасностью хороший.
445;Подтверждение иногда зависает. Такой сценарий только раздражает.
446;Подтверждение операций устроено логично. Никакого дискомфорта не вызывает.
447;Слишком много уведомлений. Особенно вечером это утомляет.
448;Для меня было неожиданно быстро Такой скорости я не ожидал.
449;Очень удобно, поддержка отвечает быстро.
450;Заблокировали перевод по номеру телефона и никто не пояснил почему.
451;Очень понравилось, для меня это большой плюс...
452;ничего особенного, но пользоваться можно.
453;Заблокировали снятие наличных на ровном месте.
454;ужас
455;Очень удобно, пользоваться комфортно.
456;Все этапы проверки видны и не вызывают вопросов. Так и должно работать.
457;поддержка нормальная, но уведомлений многовато. тогда пользоваться станет намного приятнее.
458;пользуюсь без восторга, но и без проблем
459;Постоянные сообщения мешают. Часть из них для меня бесполезна.
460;Заблокировали снятие наличных при обычной сумме.
461;Заблокировали операцию оплаты даже без предупреждения.
462;Заблокировали операцию оплаты хотя операция стандартная.
463;пока без особых эмоций, если ничего не менять.
464;Сообщения приходят слишком часто. Хотелось бы самому настроить частоту.
465;обычный сервис, пока претензий нет.
466;Не ожидал, что всё будет так быстро Даже не успел начать переживать.
467;Поддержка сработала оперативно. Объяснили спокойно и понятно.
468;все хорошо работает, всё быстро и понятно.
469;Постоянные сообщения мешают. Из-за этого хочется отключить пуши совсем...
470;Для меня было неожиданно быстро Операция завершилась с первого раза.
471;Процесс подтверждения всегда своевременный и прозрачный. Так и должно работать.
472;пока без особых эмоций.
473;Слишком долгое подтверждение операции. Хотелось бы меньше лишних шагов.
474;Поддержка нормальная, но иногда блокировки вообще нелогичные. Остальное меня устраивает.
475;Работает стабильно, всё с первого раза...
476;Подтверждение операций устроено логично. Чувствую себя спокойнее.
477;Алгоритм подтверждения выглядит странно. Такой сценарий только раздражает.
478;Сработало быстрее, чем обычно Все прошло без проблем.
479;Сотрудники всё вежливо объяснили. Осталось хорошее впечатление.
480;Слишком долгое подтверйдение операции. Такой сценарий только раздражает.
481;Программа удобная, но иногда блокировки вообще нелогичные. Если это поправить, будет отлично.
482;хорошая программа, для меня это большой плюс.
483;Поддержка сработала оперативно. Вопрос решили без лишних переводов.
484;Сотрудники всё вежливо объяснили. Объяснили спокойно и понятно.
